true_x,true_y,true_z,pred_x,pred_y,pred_z
-8.192008,-5.3497567,30.03767,-8.191976,-5.3491178,30.044167
-7.9114795,-5.1480584,29.663992,-7.91138,-5.145615,29.671478
-7.6402397,-4.9831114,29.271797,-7.6400843,-4.97915,29.279802
-7.3808384,-4.8535366,28.865755,-7.3806405,-4.8484282,28.873854
-7.1354346,-4.7576323,28.450085,-7.13521,-4.751775,28.457918
-6.9058104,-4.693499,28.028559,-6.9055734,-4.6872888,28.035841
-6.6933913,-4.659151,27.604527,-6.693156,-4.652948,27.611061
-6.4992785,-4.6526036,27.180956,-6.499055,-4.6467047,27.186611
-6.3242817,-4.671942,26.76047,-6.324079,-4.6665764,26.765182
-6.168957,-4.715374,26.345396,-6.1687813,-4.710701,26.349144
-6.033646,-4.781261,25.937817,-6.0334997,-4.777371,25.940613
-5.9185076,-4.8681417,25.539612,-5.918392,-4.8650694,25.541487
-5.823557,-4.9747405,25.152498,-5.8234725,-4.9724736,25.153505
-5.748695,-5.0999656,24.778074,-5.7486396,-5.0984583,24.778265
-5.6937375,-5.242902,24.417856,-5.6937084,-5.2420874,24.417278
-5.6584377,-5.4027977,24.073305,-5.658432,-5.402593,24.07201
-5.6425085,-5.579044,23.745852,-5.642523,-5.5793653,23.743896
-5.645638,-5.771153,23.436935,-5.6456695,-5.771916,23.434353
-5.6675024,-5.9787307,23.14801,-5.6675477,-5.97986,23.144844
-5.707775,-6.2014503,22.880571,-5.7078314,-6.202878,22.876862
-5.76613,-6.4390173,22.63617,-5.7661963,-6.440691,22.631956
-5.8422456,-6.6911397,22.416424,-5.8423195,-6.6930175,22.411747
-5.9358015,-6.9574876,22.223032,-5.935882,-6.9595423,22.21794
-6.046473,-7.237657,22.057768,-6.04656,-7.2398715,22.052319
-6.1739225,-7.5311275,21.922497,-6.174015,-7.5334945,21.916746
-6.3177876,-7.8372164,21.81916,-6.3178854,-7.839741,21.813183
-6.4776654,-8.155031,21.749765,-6.4777694,-8.157724,21.743652
-6.6530952,-8.483422,21.716375,-6.6532054,-8.486296,21.710222
-6.843535,-8.8209305,21.721075,-6.8436513,-8.8239975,21.714998
-7.048339,-9.165732,21.765928,-7.0484624,-9.169007,21.76007
-7.26673,-9.5155945,21.852938,-7.26686,-9.519076,21.847446
-7.4977694,-9.867823,21.983976,-7.497906,-9.8715,21.979015
-7.7403293,-10.219222,22.160702,-7.740471,-10.223071,22.156458
-7.9930577,-10.566069,22.384464,-7.9932027,-10.570037,22.381134
-8.254352,-10.904093,22.656195,-8.254498,-10.908102,22.65397
-8.522329,-11.228491,22.976282,-8.52247,-11.232429,22.975344
-8.794804,-11.533951,23.344423,-8.794935,-11.537676,23.344946
-9.06927,-11.814731,23.759495,-9.0693865,-11.818062,23.761606
