true_x,true_y,true_z,pred_x,pred_y,pred_z
-8.192008,-5.3497567,30.03767,-8.206253691,-5.382561447,30.44880833
-7.9114795,-5.1480584,29.663992,-7.918169617,-5.158217465,29.99858575
-7.6402397,-4.9831114,29.271797,-7.639748598,-4.975327584,29.53004278
-7.3808384,-4.8535366,28.865755,-7.373653844,-4.831679699,29.05020449
-7.1354346,-4.7576323,28.450085,-7.122124124,-4.724638584,28.56519224
-6.9058104,-4.693499,28.028559,-6.886988467,-4.65136563,28.08020199
-6.6933913,-4.659151,27.604527,-6.66969228,-4.608995503,27.59953956
-6.4992785,-4.6526036,27.180956,-6.471330992,-4.594772582,27.12669225
-6.3242817,-4.671942,26.76047,-6.292689918,-4.606151547,26.66443036
-6.168957,-4.715374,26.345396,-6.134285397,-4.640857109,26.21491773
-6.033646,-4.781261,25.937817,-5.996407136,-4.696921728,25.77982811
-5.9185076,-4.8681417,25.539612,-5.879158946,-4.772691592,25.36045517
-5.823557,-4.9747405,25.152498,-5.782496072,-4.866820325,24.95781525
-5.748695,-5.0999656,24.778074,-5.706259566,-4.978247927,24.57273456
-5.6937375,-5.242902,24.417856,-5.650208257,-5.106173112,24.20592538
-5.6584377,-5.4027977,24.073305,-5.614042951,-5.250018883,23.8580522
-5.6425085,-5.579044,23.745852,-5.597428704,-5.409398114,23.52977955
-5.645638,-5.771153,23.436935,-5.600013109,-5.584076769,23.2218129
-5.6675024,-5.9787307,23.14801,-5.621437985,-5.773937437,22.93493352
-5.707775,-6.2014503,22.880571,-5.661349413,-5.978943025,22.67001982
-5.76613,-6.4390173,22.63617,-5.719402961,-6.199102649,22.42806824
-5.8422456,-6.6911397,22.416424,-5.795264236,-6.43443289,22.21020528
-5.9358015,-6.9574876,22.223032,-5.888607781,-6.684925183,22.01770013
-6.046473,-7.237657,22.057768,-5.999110889,-6.950505812,21.85196662
-6.1739225,-7.5311275,21.922497,-6.126445215,-7.230998306,21.71456633
-6.3177876,-7.8372164,21.81916,-6.270264266,-7.526081437,21.60720893
-6.4776654,-8.155031,21.749765,-6.430188204,-7.835245754,21.5317427
